canonical_defect_id,authority_sha256,source_file,source_locator,lease,classification,exact_source,proposed_correction,target_locator,disposition,rationale
SITES-COHOMOLOGY-024,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:2625-2626,A,spurious_punctuation,"Lemma \ref{lemma-cech-vanish-collection}. are satisfied","Lemma \ref{lemma-cech-vanish-collection} are satisfied",sites-cohomology.part-a.fr.tex:2598-2600,corrected_in_translation,"The period separates the grammatical subject from its verb; French restores the continuous sentence."
SITES-COHOMOLOGY-025,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:2733,A,missing_parenthesis,"$S_n \subset \Ob(\Sh(\mathcal{C}/K^n)$","$S_n \subset \Ob(\Sh(\mathcal{C}/K^n))$",sites-cohomology.part-a.fr.tex:2702,corrected_in_translation,"The Ob(Sh(...)) expression is missing its closing parenthesis."
SITES-COHOMOLOGY-026,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:2749,A,prose_typo,"this is possibly by assumption (3)","this is possible by assumption (3)",sites-cohomology.part-a.fr.tex:2717,corrected_in_translation,"The intended adjective is possible, not the adverb possibly."
SITES-COHOMOLOGY-027,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:3145,A,wrong_tensor_base,"H^p(\mathcal{L}^\bullet \otimes_R \mathcal{K}^q)","H^p(\mathcal{L}^\bullet \otimes_\mathcal{O} \mathcal{K}^q)",sites-cohomology.part-a.fr.tex:3109,corrected_in_translation,"R is undefined here; both complexes are O-modules and all adjacent tensor products are over O."
SITES-COHOMOLOGY-029,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,"sites-cohomology.tex:3549;sites-cohomology.tex:3579",B,wrong_boundedness,"bounded below complexes of flat modules","bounded above complexes of flat modules","sites-cohomology.part-b.fr.tex:57;sites-cohomology.part-b.fr.tex:87",corrected_in_translation,"The K_n complexes are explicitly bounded above at line 3530, and the kernels M_n of maps between the displayed bounded-above complexes are bounded above; the two later below occurrences reverse that property."
SITES-COHOMOLOGY-030,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:5534,B,prose_missing_preposition,"is the inverse limit the sections","is the inverse limit of the sections",sites-cohomology.part-b.fr.tex:2027,corrected_in_translation,"The inverse limit takes the sections as its complement; the preposition of is missing."
SITES-COHOMOLOGY-031,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:5555,B,prose_missing_infinitive_marker,"we can use ... produce a diagram","we can use ... to produce a diagram",sites-cohomology.part-b.fr.tex:2045-2048,corrected_in_translation,"The English construction requires to before produce; the French target is grammatical."
SITES-COHOMOLOGY-032,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:5587,B,sentence_fragment,"In the situation described above. Denote","In the situation described above, denote",sites-cohomology.part-b.fr.tex:2080,corrected_in_translation,"The period leaves a sentence fragment and disconnects the introductory phrase from its finite verb."
SITES-COHOMOLOGY-033,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:5597,B,wrong_formula_punctuation,"H^p(U. \mathcal{H}^{m - p})","H^p(U, \mathcal{H}^{m - p})",sites-cohomology.part-b.fr.tex:2090,corrected_in_translation,"The cohomology arguments require a comma; the period makes the formula malformed."
SITES-COHOMOLOGY-034,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:6011,B,prose_missing_verb,"Thus a canonical map","Thus we obtain a canonical map",sites-cohomology.part-b.fr.tex:2502,corrected_in_translation,"The English clause lacks a finite verb; the surrounding construction canonically produces the displayed map."
SITES-COHOMOLOGY-035,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:6626,B,missing_prime,"\epsilon^*\mathcal{F}_2","\epsilon^*\mathcal{F}'_2",sites-cohomology.part-b.fr.tex:3108,corrected_in_translation,"The exact sequence and every adjacent term are indexed F'_0 through F'_4; the unprimed F_2 is not the middle term under discussion."
SITES-COHOMOLOGY-036,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:6750,B,duplicate_article,"is a a tau-sheaf","is a tau-sheaf",sites-cohomology.part-b.fr.tex:3231,corrected_in_translation,"The repeated English article is typographical and is absent from the French sentence."
SITES-COHOMOLOGY-037,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:6781,B,prose_missing_infinitive_marker,"urge the reader skip the proof","urge the reader to skip the proof",sites-cohomology.part-b.fr.tex:3260-3261,corrected_in_translation,"The English verb urge requires to before the infinitive; French uses the corresponding grammatical construction."
SITES-COHOMOLOGY-038,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:6823,C,wrong_topos_base,"\Sh(\mathcal{C}_{\tau'}/X)","\Sh(\mathcal{C}_{\tau'}/Y)",sites-cohomology.part-c.fr.tex:17,corrected_in_translation,"The lower-right corner is over Y; the horizontal morphism is f_{\tau'}."
SITES-COHOMOLOGY-039,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,"sites-cohomology.tex:7301;sites-cohomology.tex:7339",C,wrong_derived_category_base,"D^+_{\mathcal{A}'_X}(\mathcal{C}_{\tau'}/Y); D^+_{\mathcal{A}'_X}(\mathcal{C}_{\tau'}/X)","D^+_{\mathcal{A}'_Y}(\mathcal{C}_{\tau'}/Y) in both occurrences","sites-cohomology.part-c.fr.tex:506;sites-cohomology.part-c.fr.tex:543",corrected_in_translation,"The direct image Rf_{\tau',*}K' lies over Y."
SITES-COHOMOLOGY-040,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,"sites-cohomology.tex:7322;sites-cohomology.tex:7324",C,unbound_degree_index,"H^i(K') = H^i(K'); H^i(K')","H^n(K') = H^n(K'); H^n(K')","sites-cohomology.part-c.fr.tex:527;sites-cohomology.part-c.fr.tex:529",corrected_in_translation,"The displayed computation fixes degree n; i is unbound."
SITES-COHOMOLOGY-041,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,"sites-cohomology.tex:7548;sites-cohomology.tex:7554;sites-cohomology.tex:7560",C,wrong_nested_cover_index,"X_{ij}; g_{ij}; f_i(g_{ij}(F_{e_k,j}))","X_{i_a j}; g_{i_a j}; f_{i_a}(g_{i_a j}(F_{e_k,j}))","sites-cohomology.part-c.fr.tex:759-760;sites-cohomology.part-c.fr.tex:766;sites-cohomology.part-c.fr.tex:772",corrected_in_translation,"The selected outer covering index is i_a, not i."
SITES-COHOMOLOGY-042,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:7600,C,missing_set_parentheses,"f(X \setminus U_{x_1} \cup \ldots \cup U_{x_n})","f(X \setminus (U_{x_1} \cup \ldots \cup U_{x_n}))",sites-cohomology.part-c.fr.tex:812,corrected_in_translation,"The set difference applies to the whole union."
SITES-COHOMOLOGY-043,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:7948,C,wrong_composite_side,"a_Y = \pi_X \circ \epsilon_X","a_Y = \pi_Y \circ \epsilon_Y",sites-cohomology.part-c.fr.tex:1160,corrected_in_translation,"The Y-side composite must use the Y-indexed maps."
SITES-COHOMOLOGY-044,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:8085,C,repeated_inverse_factor,"\epsilon_X^{-1} \circ a_X^{-1}","\epsilon_X^{-1} \circ \pi_X^{-1}",sites-cohomology.part-c.fr.tex:1305,corrected_in_translation,"This is the factorization of a_X^{-1} through \pi_X^{-1}."
SITES-COHOMOLOGY-045,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:8117,C,reversed_composition,"a_X = \epsilon_X \circ \pi_X","a_X = \pi_X \circ \epsilon_X",sites-cohomology.part-c.fr.tex:1337,corrected_in_translation,"The defining diagram fixes the composition order."
SITES-COHOMOLOGY-046,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,"sites-cohomology.tex:8291;sites-cohomology.tex:8295;sites-cohomology.tex:8299;sites-cohomology.tex:8313;sites-cohomology.tex:8317;sites-cohomology.tex:8321",C,wrong_tensor_base,"\mathcal{O}_{\mathcal{D}} in six C-side tensor products","\mathcal{O}_{\mathcal{C}} in all six occurrences","sites-cohomology.part-c.fr.tex:1512;sites-cohomology.part-c.fr.tex:1516;sites-cohomology.part-c.fr.tex:1520;sites-cohomology.part-c.fr.tex:1534;sites-cohomology.part-c.fr.tex:1538;sites-cohomology.part-c.fr.tex:1542",corrected_in_translation,"After inverse image to C, the tensor base is O_C."
SITES-COHOMOLOGY-047,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:8513,C,unmatched_parenthesis,"L(f' \circ f)^*R(f' \circ f)_*L)","L(f' \circ f)^*R(f' \circ f)_*L",sites-cohomology.part-c.fr.tex:1734,corrected_in_translation,"The source has an unmatched closing parenthesis."
SITES-COHOMOLOGY-048,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:8534,C,missing_parenthesis,"(\Sh(\mathcal{C}, \mathcal{O}_{\mathcal{C}}) \ar[d]^f","(\Sh(\mathcal{C}), \mathcal{O}_{\mathcal{C}}) \ar[d]^f",sites-cohomology.part-c.fr.tex:1755,corrected_in_translation,"The Sh(C) argument lacks its closing parenthesis."
SITES-COHOMOLOGY-049,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:8549,C,malformed_cup_product,"R(f')_*(L(g')^*K \otimes_{\mathcal{O}_{\mathcal{D}'}} R(f')_*(L(g')^*L","R(f')_*L(g')^*K \otimes_{\mathcal{O}_{\mathcal{D}'}}^\mathbf{L} R(f')_*L(g')^*L",sites-cohomology.part-c.fr.tex:1770,corrected_in_translation,"The lower-left cup-product term has misplaced parentheses and omits the derived tensor marker."
SITES-COHOMOLOGY-050,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:8683,C,extraneous_complex,"\mathcal{K}^\bullet, \mathcal{L}^\bullet, \mathcal{M}^\bullet","\mathcal{K}^\bullet, \mathcal{L}^\bullet",sites-cohomology.part-c.fr.tex:1904,corrected_in_translation,"Only K and L occur and the conclusion refers to both complexes."
SITES-COHOMOLOGY-051,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:9803,C,wrong_localized_topos,"\Sh(\mathcal{C}), \mathcal{O}_U","\Sh(\mathcal{C}/U), \mathcal{O}_U",sites-cohomology.part-c.fr.tex:3026,corrected_in_translation,"The upper-right topos is localized at U."
SITES-COHOMOLOGY-052,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:9819,C,undefined_base_category,"p' : \mathcal{C}' \to \mathcal{D}'","p' : \mathcal{C}' \to \mathcal{D}",sites-cohomology.part-c.fr.tex:3042,corrected_in_translation,"The common base is D; D' is undefined."
SITES-COHOMOLOGY-053,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:10224,C,wrong_adjoint_direction,"right adjoint","left adjoint",sites-cohomology.part-c.fr.tex:3444,corrected_in_translation,"The composites are left-derived left adjoints."
SITES-COHOMOLOGY-054,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:10490,C,prose_missing_preposition,"a map sheaf of rings","a map of sheaves of rings",sites-cohomology.part-c.fr.tex:3714,corrected_in_translation,"The English phrase is missing 'of sheaves'."
SITES-COHOMOLOGY-055,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:10591,C,wrong_chain_start,"U_{i,n+1}","U_{i,n}",sites-cohomology.part-c.fr.tex:3816,corrected_in_translation,"An element of K_n is expanded using a chain starting at U_{i,n}."
SITES-COHOMOLOGY-056,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:10595,C,prose_typo,"occurs are most once","occurs at most once",sites-cohomology.part-c.fr.tex:3819-3820,corrected_in_translation,"The source phrase is ungrammatical."
SITES-COHOMOLOGY-057,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:10597,C,wrong_degree_object,"K_\bullet(\mathcal{F}^+)(V)","K_n(\mathcal{F}^+)(V)",sites-cohomology.part-c.fr.tex:3822,corrected_in_translation,"The proof works in the fixed degree n."
SITES-COHOMOLOGY-058,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:10625,C,wrong_functor_codomain,"\textit{PAb}(\mathcal{C}) \to \textit{Ab}(\mathcal{C})","\textit{PAb}(\mathcal{C}) \to \textit{Ab}(\mathcal{D})",sites-cohomology.part-c.fr.tex:3850,corrected_in_translation,"The functors L_n produce sheaves on D."
SITES-COHOMOLOGY-059,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:10642,C,unmatched_parenthesis,"\mathcal{D})","\mathcal{D}",sites-cohomology.part-c.fr.tex:3867,corrected_in_translation,"The source has an unmatched closing parenthesis."
SITES-COHOMOLOGY-060,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:12200,D,missing_index,"H^j(\beta)","H^j(\beta_i)",sites-cohomology.part-d.fr.tex:1463,corrected_in_translation,"The paragraph defines only the indexed maps beta_i."
SITES-COHOMOLOGY-061,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:12204,D,missing_indices,"\gamma_i : \mathcal{K}^\bullet \to \mathcal{L}^\bullet","\gamma_i : \mathcal{K}_i^\bullet \to \mathcal{L}_i^\bullet",sites-cohomology.part-d.fr.tex:1466,corrected_in_translation,"Only the indexed local complexes K_i and L_i are defined in this proof."
SITES-COHOMOLOGY-062,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,"sites-cohomology.tex:12258;sites-cohomology.tex:12260",D,prose_typos,"with H^i(\alpha) and isomorphism; H^i(\beta) and isomorphism","with H^i(\alpha) an isomorphism; H^i(\beta) an isomorphism",sites-cohomology.part-d.fr.tex:1519-1521,corrected_in_translation,"The indefinite article is mistyped as the conjunction in both clauses."
